ENCODE,pred_index
ENCFF384LIR,60
ENCFF860NIK,60
ENCFF384LIR,71
ENCFF860NIK,71
ENCFF139NTN,62
ENCFF953NDG,62
ENCFF164SVS,102
ENCFF847YIY,102
ENCFF010PNI,117
ENCFF105KLN,117
ENCFF434TZT,117
ENCFF853SRF,117
ENCFF470TOW,143
ENCFF950TEB,143
ENCFF088TEB,150
ENCFF303CFU,150
ENCFF508MTN,150
ENCFF578NZU,150
ENCFF343SYH,173
ENCFF832TMO,173
ENCFF603WCG,74
ENCFF961EYQ,74
ENCFF228IEH,204
ENCFF923QOM,204
ENCFF228IEH,70
ENCFF923QOM,70
ENCFF377RAB,185
ENCFF629OCF,185
ENCFF374QZV,148
ENCFF699ABN,148
ENCFF374QZV,149
ENCFF699ABN,149
ENCFF862WPA,187
ENCFF870FHW,187
ENCFF862WPA,1
ENCFF870FHW,1
ENCFF862WPA,2
ENCFF870FHW,2
ENCFF862WPA,3
ENCFF870FHW,3
ENCFF862WPA,4
ENCFF870FHW,4
ENCFF862WPA,5
ENCFF870FHW,5
ENCFF048ERC,188
ENCFF236FAE,188
ENCFF364FBK,188
ENCFF870PAN,188
ENCFF176KLR,112
ENCFF512AHE,112
ENCFF036OFK,6
ENCFF499CNS,6
ENCFF510BQT,6
ENCFF577STV,6
ENCFF036OFK,7
ENCFF499CNS,7
ENCFF510BQT,7
ENCFF577STV,7
ENCFF036OFK,8
ENCFF499CNS,8
ENCFF510BQT,8
ENCFF577STV,8
ENCFF036OFK,9
ENCFF499CNS,9
ENCFF510BQT,9
ENCFF577STV,9
ENCFF036OFK,11
ENCFF499CNS,11
ENCFF510BQT,11
ENCFF577STV,11
ENCFF036OFK,64
ENCFF499CNS,64
ENCFF510BQT,64
ENCFF577STV,64
ENCFF410CCN,216
ENCFF892NZC,216
ENCFF189JPN,209
ENCFF223YZP,209
ENCFF189JPN,217
ENCFF223YZP,217
ENCFF674IET,219
ENCFF869RDN,219
ENCFF649UEJ,220
ENCFF816ERM,220
ENCFF649UEJ,66
ENCFF816ERM,66
ENCFF228NWX,221
ENCFF731SOH,221
ENCFF968HCI,221
ENCFF993FCZ,221
ENCFF049YYD,222
ENCFF669QIT,222
ENCFF675UIB,222
ENCFF844XTT,222
